area,latitude,longitude
Villa Lynch - Sur,-34.58854107111284,-58.542096217875525
Villa Maipú,-34.56950008439707,-58.52195053737427
San Martín,-34.57621421916543,-58.53788857188576
Billinghurst - Norte,-34.56905419397933,-58.57847143017779
Loma Hermosa,-34.55005012530849,-58.59695799331922
San Andrés - Norte,-34.55377412252565,-58.53440659234131
Villa Ballester - Las Heras Norte,-34.557551579457225,-58.552687684140906
Villa Ballester - Gral. Guido,-34.55353855282134,-58.56617614057667
Villa Ballester - VIlla De Sucre,-34.54676563483649,-58.569341994736504
Villa Lynch - Villa Chacabuco,-34.58381483865446,-58.52594987151601
Villa Ballester - Villa Zapiola,-34.55826253397304,-58.57779119213454
José León Suarez - Villa Godoy Cruz,-34.54223367500293,-58.57612327577364
Villa Ballester - Norte,-34.54000102192639,-58.553223446820844
José León Suarez - Este,-34.52969409823017,-58.56696742606384
San Andrés - Sur,-34.56750887432412,-58.54614842033014
José León Suarez - Oeste,-34.517578114590556,-58.59069184855201
Billinghurst - Sur,-34.577426827375206,-58.56295892699417
Villa Ballester - Alvear Sur,-34.551013335706905,-58.549680499063975
Villa Ballester - Alvear Norte,-34.546428314883855,-58.55540429625701
Villa Ballester - Las Heras Sur,-34.56361346370769,-58.55813218876763
